unique_identifier,listing_amount,amount_funded,lender_yield,borrower_apr,listing_term,listing_monthly_payment,income_range,income_range_description,stated_monthly_income,employment_status_description,occupation,months_employed,borrower_state,borrower_city,prior_prosper_loans,prior_prosper_loans_principal_borrowed,prior_prosper_loans_principal_outstanding,prior_prosper_loans_balance_outstanding,prior_prosper_loans_cycles_billed,prior_prosper_loans_ontime_payments,prior_prosper_loans_late_cycles,prior_prosper_loan_earliest_pay_off,lender_indicator,group_indicator,TUFicoRange,dti_wprosper_loan,CoBorrowerApplication,CombinedDtiwProsperLoan,CombinedStatedMonthlyIncome
0,17300,17300.0,0.1349,0.1683,60,406.95,6,"$100,000+",11250.0,Employed,Other,300.0,TX,Littlefield,2,25000.0,8809.62,0.0,1.0,1.0,0.0,7.0,0,False,760-779,0.2377,True,0.2377,16250.0
1,25000,25000.0,0.0999,0.1325,60,543.44,6,"$100,000+",15416.6667,Employed,Construction,32.0,HI,Ewa Beach,2,17000.0,0.0,0.0,0.0,0.0,0.0,1.0,0,False,760-779,0.29,True,0.29,22333.3333
2,3500,3500.0,0.1179,0.1641,36,117.58,4,"$50,000-74,999",4166.6667,Employed,Teacher,11.0,OK,Okemah,3,15000.0,0.0,0.0,15.0,15.0,0.0,0.0,0,False,700-719,0.0309,True,0.0309,7500.0
3,5000,5000.0,0.0964,0.1422,36,162.84,4,"$50,000-74,999",5000.0,Employed,Other,6.0,CO,AURORA,1,3000.0,0.0,0.0,0.0,0.0,0.0,24.0,0,False,660-679,0.1818,True,0.1818,8333.3333
4,21795,21795.0,0.053,0.0795,36,666.01,6,"$100,000+",20000.0,Employed,Tradesman - Electrician,57.0,LA,Sulphur,1,19000.0,0.0,0.0,0.0,0.0,0.0,30.0,0,False,820-850,0.1816,True,0.1816,23833.3333
5,2000,2000.0,0.1279,0.1743,36,68.15,4,"$50,000-74,999",4666.6667,Employed,Analyst,77.0,IL,Dunlap,1,9430.0,0.0,0.0,0.0,0.0,0.0,29.0,0,False,720-739,0.2104,True,0.2104,8000.0
6,5000,5000.0,0.0804,0.1258,36,159.09,6,"$100,000+",20833.3333,Employed,Doctor,94.0,TN,Murfreesboro,2,36500.0,3765.83,0.0,0.0,0.0,0.0,12.0,0,False,740-759,0.1603,True,0.1603,28333.3333
7,10500,10500.0,0.1179,0.1509,60,237.78,4,"$50,000-74,999",5833.3333,Employed,Tradesman - Electrician,5.0,FL,Starke,1,10000.0,0.0,0.0,0.0,0.0,0.0,21.0,0,False,700-719,0.1226,True,0.1226,8066.6667
8,14000,14000.0,0.053,0.0795,36,427.81,5,"$75,000-99,999",6250.0,Employed,Nurse (LPN),136.0,MO,Jefferson City,1,10000.0,0.0,0.0,0.0,0.0,0.0,34.0,0,False,800-819,0.05,True,0.05,10666.6667
9,15000,15000.0,0.1379,0.1846,36,518.44,3,"$25,000-49,999",3333.3333,Employed,Tradesman - Plumber,5.0,OK,Edmond,1,6000.0,0.0,0.0,0.0,0.0,0.0,19.0,0,False,700-719,0.1659,True,0.1659,9166.6667
10,10000,10000.0,0.1219,0.155,60,228.5,4,"$50,000-74,999",4583.3333,Employed,Police Officer/Correction Officer,285.0,FL,Ocala,1,10000.0,0.0,0.0,4.0,4.0,0.0,59.0,0,False,800-819,0.29,True,0.29,8583.3333
11,10000,10000.0,0.1219,0.155,60,228.5,4,"$50,000-74,999",4583.3333,Employed,Police Officer/Correction Officer,285.0,FL,Ocala,1,10000.0,0.0,0.0,4.0,4.0,0.0,59.0,0,False,800-819,0.3112,True,0.3112,8083.3333
12,16000,16000.0,0.1249,0.1712,36,542.89,6,"$100,000+",13333.3333,Employed,Professional,124.0,MA,Marblehead,2,27401.0,0.0,0.0,2.0,2.0,0.0,27.0,0,False,680-699,0.4039,True,0.4039,21458.3333
13,20500,20500.0,0.0974,0.1432,36,668.62,6,"$100,000+",8333.3333,Employed,Professional,224.0,KY,Shepherdsville,3,67000.0,0.0,0.0,0.0,0.0,0.0,6.0,0,False,700-719,0.2597,True,0.2597,14375.0
14,18000,18000.0,0.1028,0.1354,60,393.88,4,"$50,000-74,999",5416.6667,Self-employed,Self Employed,317.0,CO,BTLMT MESA,3,29600.0,0.0,0.0,0.0,0.0,0.0,24.0,0,False,740-759,0.2512,True,0.2512,13500.0
15,21000,21000.0,0.0929,0.1254,60,449.19,5,"$75,000-99,999",7358.3333,Employed,Teacher,12.0,CA,San Clemente,3,17700.0,0.0,0.0,0.0,0.0,0.0,9.0,0,False,760-779,0.1993,True,0.1993,12400.0
16,5000,5000.0,0.235,0.2708,60,145.29,3,"$25,000-49,999",2166.6667,Employed,Administrative Assistant,75.0,WI,Antigo,2,5500.0,0.0,0.0,0.0,0.0,0.0,9.0,0,False,700-719,0.1427,True,0.1427,5916.6667
17,13000,13000.0,0.1249,0.1713,36,441.1,6,"$100,000+",11250.0,Employed,Teacher,238.0,KY,Lexington,2,14000.0,0.0,0.0,0.0,0.0,0.0,17.0,0,False,700-719,0.1832,True,0.1832,15833.3333
18,15000,15000.0,0.0959,0.1416,36,488.17,6,"$100,000+",9583.3333,Self-employed,Self Employed,220.0,CO,Leadville,3,35000.0,0.0,0.0,1.0,1.0,0.0,5.0,0,False,700-719,0.1821,True,0.1821,13750.0
19,12000,12000.0,0.053,0.0795,36,366.7,6,"$100,000+",16666.6667,Employed,Professional,52.0,NJ,South Orange,1,20000.0,0.0,0.0,0.0,0.0,0.0,16.0,0,False,820-850,0.0566,True,0.0566,23750.0
20,20000,20000.0,0.1564,0.1903,60,493.19,4,"$50,000-74,999",5000.0,Self-employed,Construction,388.0,CA,Lodi,1,10000.0,0.0,0.0,0.0,0.0,0.0,5.0,0,False,700-719,0.1326,True,0.1326,10416.6667
21,25000,25000.0,0.1115,0.1444,60,558.01,6,"$100,000+",9833.3333,Employed,Engineer - Electrical,90.0,ME,BATH,2,42500.0,0.0,0.0,0.0,0.0,0.0,10.0,0,False,700-719,0.1015,True,0.1015,16333.3333
22,8000,8000.0,0.0894,0.135,36,257.91,4,"$50,000-74,999",5666.6667,Employed,Clerical,394.0,CA,Montclair,3,28200.0,0.0,0.0,0.0,0.0,0.0,16.0,0,False,740-759,0.1673,True,0.1673,13250.0
23,11500,11500.0,0.0864,0.132,36,369.13,4,"$50,000-74,999",4166.6667,Employed,Other,34.0,MI,PORT HURON,1,10000.0,0.0,0.0,0.0,0.0,0.0,29.0,0,False,720-739,0.1716,True,0.1716,7500.0
24,32000,32000.0,0.0929,0.1254,60,684.48,6,"$100,000+",11250.0,Employed,Executive,471.0,TX,NEW BRAUNFELS,1,32000.0,0.0,0.0,0.0,0.0,0.0,7.0,0,False,800-819,0.3569,True,0.3569,15833.3333
25,35000,35000.0,0.1349,0.1815,36,1204.56,3,"$25,000-49,999",3750.0,Employed,Other,18.0,TX,KERRVILLE,1,20000.0,0.0,0.0,0.0,0.0,0.0,31.0,0,False,720-739,0.2902,True,0.2902,12916.6667
26,15000,15000.0,0.2264,0.2751,36,585.66,6,"$100,000+",8333.3333,Employed,Other,64.0,CA,santa nella,3,35500.0,0.0,0.0,2.0,2.0,0.0,28.0,0,False,700-719,0.3202,True,0.3202,11250.0
27,10000,10000.0,0.0929,0.1254,60,213.9,3,"$25,000-49,999",3416.6667,Other,Accountant/CPA,210.0,OR,PORTLAND,1,4000.0,0.0,0.0,37.0,3.0,68.0,17.0,0,False,720-739,0.2284,True,0.2284,5265.6667
28,11700,11700.0,0.0974,0.1431,36,381.6,4,"$50,000-74,999",4333.3333,Other,Clerical,192.0,CA,FAIRFIELD,1,15000.0,0.0,0.0,1.0,1.0,0.0,15.0,0,False,720-739,0.3345,True,0.3345,5564.8333
29,7000,7000.0,0.1003,0.1461,36,229.27,3,"$25,000-49,999",3333.3333,Employed,Construction,50.0,ID,Sagle,2,12000.0,1662.68,0.0,0.0,0.0,0.0,28.0,0,False,740-759,0.2721,True,0.2721,15833.3333
30,13000,13000.0,0.1349,0.1815,36,447.41,3,"$25,000-49,999",2166.6667,Other,Tradesman - Mechanic,40.0,TN,Maynardville,3,17000.0,4673.71,0.0,15.0,15.0,0.0,9.0,0,False,760-779,0.2665,True,0.2665,4583.3333
31,2000,2000.0,0.0804,0.1258,36,63.64,3,"$25,000-49,999",3833.3333,Other,Construction,167.0,CA,MORGAN HILL,1,6000.0,0.0,0.0,1.0,1.0,0.0,34.0,0,False,760-779,0.0837,True,0.0837,7166.6667
